No,Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Jawaban Benar
1,"Diberi kode: angka = np.array([10, 20, 30]); print(angka * 2) — apa hasilnya?","[10, 20, 30, 10, 20, 30]","[20, 40, 60]","Error, karena array tidak bisa dikalikan","60",B
2,"Analogi paling tepat untuk DataFrame di Pandas adalah...","Sebuah kalimat panjang berisi banyak kata","Sebuah tabel, di mana kolom mewakili variabel dan baris mewakili observasi","Sebuah angka tunggal hasil perhitungan","Sebuah gambar yang menampilkan grafik",B
3,"Fungsi apa yang dipakai untuk membaca file CSV ke dalam Pandas?","pd.open_csv(""nama_file.csv"")","pd.read_csv(""nama_file.csv"")","pd.load_csv(""nama_file.csv"")","pd.import_csv(""nama_file.csv"")",B
4,"Apa fungsi df.head()?","Menampilkan seluruh baris dalam DataFrame","Menampilkan lima baris pertama dari DataFrame secara default","Menghapus baris pertama dari DataFrame","Mengurutkan data dari baris terakhir",B
5,"Apa yang ditampilkan oleh df.info()?","Nilai rata-rata tiap kolom numerik","Struktur DataFrame: nama kolom, tipe data, dan jumlah non-null","Lima baris pertama data","Grafik distribusi tiap kolom",B
6,"Apa yang ditampilkan oleh df.describe()?","Struktur kolom dan tipe datanya","Ringkasan statistik seperti mean, minimum, dan maksimum untuk kolom numerik","Daftar nama semua kolom saja","Jumlah baris yang mengandung nilai kosong",B
7,"Apa perbedaan df[""kolom""] dan df[[""kolom_a"", ""kolom_b""]]?","Keduanya menghasilkan hal yang sama persis","df[""kolom""] mengambil satu kolom, df[[""kolom_a"", ""kolom_b""]] mengambil beberapa kolom sekaligus","df[""kolom""] hanya bisa dipakai untuk angka","df[[""kolom_a"", ""kolom_b""]] selalu error kalau kolomnya lebih dari satu",B
8,"Kode berikut dipakai untuk apa? produk_mahal = df[df[""harga""] > 100000]","Mengurutkan produk dari harga termurah","Menyaring baris yang nilai kolom harga-nya lebih dari 100000","Menghitung rata-rata harga semua produk","Menghapus kolom harga dari DataFrame",B
9,"Sebelum memakai dataset dari Kaggle, hal apa yang paling penting dicek terlebih dahulu?","Jumlah like/upvote dataset itu","Deskripsi kolom, periode data, satuan nilai, dan lisensinya","Warna tampilan halaman Kaggle-nya","Apakah dataset itu dibuat hari ini atau tidak",B
10,"NumPy paling cocok dipakai untuk kebutuhan seperti apa?","Menulis teks panjang dan laporan naratif","Komputasi numerik berbasis array secara efisien","Membuat tampilan dashboard interaktif","Menghubungkan ke database secara langsung",B
