No,Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Jawaban Benar
1,"Apa tugas utama seorang Data Analyst?","Menulis kode aplikasi untuk pengguna akhir","Mengubah data mentah menjadi insight untuk pengambilan keputusan","Memperbaiki jaringan komputer perusahaan","Mendesain tampilan visual sebuah website",B
2,"Urutan alur kerja Data Analyst yang benar adalah...","Analisis → Pertanyaan → Bersihkan → Visualisasi","Kumpulkan Data → Analisis → Pertanyaan → Rekomendasi","Pertanyaan → Kumpulkan Data → Bersihkan → Analisis → Visualisasi → Rekomendasi","Visualisasi → Bersihkan → Pertanyaan → Analisis",C
3,"Apa keuntungan utama Google Colab dibanding menginstal Python di laptop sendiri?","Colab bisa dipakai tanpa internet","Colab tidak memerlukan instalasi apa pun, langsung jalan dari browser","Colab lebih cepat menjalankan kode daripada laptop mana pun","Colab otomatis memperbaiki kode yang salah",B
4,"Di dalam notebook Colab, apa fungsi tanda # di awal baris kode?","Menjalankan baris itu sebagai perintah khusus","Menandai baris itu sebagai komentar, diabaikan Python","Menghapus baris itu secara otomatis","Membuat baris itu berjalan lebih cepat",B
5,"Kode berikut menghasilkan error apa? Kode: print(nama_pelanggan)","SyntaxError, karena tanda kurung salah","TypeError, karena tipe data tidak cocok","NameError, karena variabel belum pernah didefinisikan","Tidak ada error, kode berjalan normal",C
6,"Manakah pasangan tipe data dan contohnya yang benar?","int — ""25""","float — 87.5","bool — 25","str — True",B
7,"Apa hasil dari kode berikut? Kode: nama = ""Alya""; jumlah = 25; print(f""{nama} punya {jumlah} pesanan"")","{nama} punya {jumlah} pesanan","Alya punya 25 pesanan","Error karena f-string tidak valid","nama punya jumlah pesanan",B
8,"Diberi list kategori = [""Elektronik"", ""Fashion"", ""Makanan""], apa hasil dari kategori[1]?","""Elektronik""","""Fashion""","""Makanan""","Error, karena index dimulai dari 1",B
9,"Diberi dictionary produk = {""nama"": ""Mouse"", ""harga"": 150000, ""stok"": 10}, bagaimana cara mengambil nilai harga-nya?","produk[1]","produk.harga","produk[""harga""]","produk(""harga"")",C
10,"Kapan sebaiknya memakai dictionary dibanding list?","Kalau semua data sejenis dan urutannya penting","Kalau satu data punya beberapa atribut yang masing-masing perlu nama jelas","Dictionary dan list selalu bisa saling menggantikan tanpa beda","Kalau datanya cuma satu angka saja",B
