No,Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Jawaban Benar
1,"Apa fungsi df.isna().sum()?","Menghapus semua baris yang kosong","Menghitung jumlah nilai kosong (missing value) di tiap kolom","Mengganti nilai kosong dengan angka 0","Menjumlahkan seluruh angka di DataFrame",B
2,"Apa fungsi df.drop_duplicates()?","Menghapus kolom yang tidak dipakai","Menghapus baris yang datanya duplikat/kembar","Menghapus baris yang mengandung nilai kosong","Mengurutkan data dari yang paling sering muncul",B
3,"Pada kode: df[""tanggal""] = pd.to_datetime(df[""tanggal""], errors=""coerce"") — apa fungsi errors=""coerce""?","Membuat program berhenti total kalau ada tanggal yang formatnya salah","Mengubah nilai yang gagal dikonversi menjadi NaT/kosong, alih-alih menyebabkan error","Menghapus otomatis kolom tanggal dari DataFrame","Mengubah semua tanggal jadi hari ini",B
4,"Apakah missing value SELALU harus dihapus dari data?","Ya, semua missing value wajib dihapus tanpa terkecuali","Tidak — bisa juga diisi nilai tertentu, atau ditandai sebagai kategori 'Tidak diketahui', tergantung konteks","Tidak, missing value harus dibiarkan apa adanya dan tidak boleh disentuh","Missing value otomatis hilang sendiri saat file CSV dibuka",B
5,"Pada kode groupby(...).agg(total_penjualan=(""nilai_penjualan"",""sum""), jumlah_transaksi=(""id_pesanan"",""nunique"")) — apa fungsi .agg(...)?","Mengurutkan data berdasarkan kategori","Menghitung agregasi (jumlah, hitung unik, dst) untuk tiap grup hasil groupby","Menghapus kolom kategori dari hasil akhir","Menggabungkan dua DataFrame menjadi satu",B
6,"groupby(""kategori"") pada Pandas paling mirip dengan konsep apa?","Mengurutkan data dari A ke Z","Mengelompokkan baris berdasarkan nilai yang sama pada kolom tertentu, sebelum dihitung ringkasannya","Menghapus baris yang kategorinya sama","Menggabungkan seluruh kolom jadi satu teks panjang",B
7,"Manakah yang merupakan contoh pertanyaan EDA yang baik untuk data penjualan?","Berapa banyak warna yang dipakai di grafik?","Kategori mana yang menyumbang penjualan terbesar?","Siapa yang membuat file CSV ini?","Berapa ukuran file CSV dalam megabyte?",B
8,"Kenapa penting mencatat keputusan cleaning data (misalnya kenapa baris tertentu dihapus)?","Supaya file jadi lebih besar ukurannya","Supaya analisis dapat ditelusuri dan dipertanggungjawabkan ke orang lain","Karena itu wajib menurut aturan Python","Tidak penting, cleaning tidak perlu dicatat sama sekali",B
9,"Apa perbedaan mendasar antara temuan dan insight dalam konteks EDA?","Keduanya adalah istilah yang sama persis","Temuan adalah hasil observasi data mentah; insight memberi makna dan arah tindakan dari temuan itu","Insight hanya berupa angka, temuan hanya berupa grafik","Temuan dibuat manusia, insight dibuat otomatis oleh komputer",B
10,"Kolom harga terbaca sebagai teks (str), bukan angka. Fungsi apa yang tepat untuk memperbaikinya?","df[""harga""].drop_duplicates()","pd.to_numeric(df[""harga""], errors=""coerce"")","df[""harga""].isna().sum()","df.groupby(""harga"")",B
