No,Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Jawaban Benar
1,"Apa fungsi st.title(...) di Streamlit?","Menampilkan judul besar di halaman dashboard","Menyimpan data ke file CSV","Menjalankan aplikasi di terminal","Membuat grafik interaktif",A
2,"Apa fungsi st.multiselect(...) pada dashboard Streamlit?","Menampilkan satu angka metrik saja","Membuat filter yang memungkinkan pengguna memilih beberapa opsi sekaligus","Menghapus baris data yang dipilih","Mengurutkan kolom tabel secara otomatis",B
3,"Apa fungsi st.metric(...) pada kode: col1.metric(""Total Penjualan"", f""Rp {data_tampil['nilai_penjualan'].sum():,.0f}"")?","Menampilkan grafik batang","Menampilkan satu angka ringkasan dengan label, misalnya total penjualan","Membuat tabel dari DataFrame","Mengganti tema warna dashboard",B
4,"Perintah apa yang dipakai untuk menjalankan aplikasi Streamlit dari terminal?","python app.py","streamlit run app.py","run streamlit app.py","streamlit start app.py",B
5,"Manakah struktur folder proyek Streamlit yang sesuai dengan materi?","Hanya perlu satu file app.py, tidak butuh file lain","app.py, folder data/ berisi CSV, requirements.txt, dan README.md","Semua kode harus ada dalam satu file bernama main.py tanpa folder tambahan","Data harus disimpan di database, tidak boleh berupa file CSV",B
6,"Urutan perintah Git yang benar untuk pertama kali mengunggah proyek ke GitHub adalah...","git push -> git init -> git commit -> git add","git init -> git add . -> git commit -m ""..."" -> git push","git commit -> git init -> git push -> git add","git add . -> git push -> git init -> git commit",B
7,"Apa yang TIDAK boleh diunggah ke repository GitHub menurut materi?","Kode app.py","README.md proyek","Password, API key, atau file data pribadi","File requirements.txt",C
8,"Apa isi yang sebaiknya ada di README.md sebuah proyek dashboard?","Hanya nama pembuat, tanpa penjelasan lain","Tujuan proyek, sumber data, cara instalasi, dan insight yang ditemukan","Salinan penuh kode app.py","Daftar harga produk yang dianalisis",B
9,"Kode: ringkasan = data_tampil.groupby(""kategori"",as_index=False)[""nilai_penjualan""].sum(); fig = px.bar(ringkasan, x=""kategori"", y=""nilai_penjualan"") dipakai untuk apa?","Menghapus kategori yang tidak dipilih dari database","Meringkas total penjualan per kategori, lalu menampilkannya sebagai bar chart","Mengubah semua nilai penjualan menjadi nol","Menyimpan grafik langsung ke Google Drive",B
10,"Apa yang sebaiknya dilakukan setiap anggota kelompok agar kontribusinya terlacak di proyek akhir?","Hanya satu orang yang boleh menyentuh kode, lainnya cukup menonton","Melakukan commit sendiri ke repository dengan pesan yang jelas","Mengirim kode lewat chat pribadi ke satu orang saja","Kontribusi tidak perlu tercatat, cukup dikerjakan bersama secara lisan",B
